LON,LAT,NUMBER,STREET,STR_NAME,STR_TYPE,STR_DIR,address,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-115.7560629,49.5233603,1111,CRANBROOK Street N,CRANBROOK,Street,N,1111 CRANBROOK Street N,,CRANBROOK,,,,,fcaf166cbec8bbee
-115.7615393,49.5194652,1350,7TH Street N,7TH,Street,N,1350 7TH Street N,,CRANBROOK,,,,,de3ed2e73f55e5b5
-115.7640486,49.5170203,405,CRANBROOK Street N,CRANBROOK,Street,N,405 CRANBROOK Street N,,CRANBROOK,,,,,b9e2eaebc3fe20fd
-115.762979,49.5177388,513,CRANBROOK Street N,CRANBROOK,Street,N,513 CRANBROOK Street N,,CRANBROOK,,,,,bd8091dfcd5d1b03
-115.7625598,49.517907,513,CRANBROOK Street N,CRANBROOK,Street,N,513 CRANBROOK Street N,,CRANBROOK,,,,,a663cbca1e6521f2
-115.7628921,49.518035,513,CRANBROOK Street N,CRANBROOK,Street,N,513 CRANBROOK Street N,,CRANBROOK,,,,,df496367a9b028d0
-115.7622145,49.5180613,525,CRANBROOK Street N,CRANBROOK,Street,N,525 CRANBROOK Street N,,CRANBROOK,,,,,497712ee62557206
-115.7627359,49.5182485,121,6TH Street N,6TH,Street,N,121 6TH Street N,,CRANBROOK,,,,,d4e1fcaaa7afd6a6
-115.7635433,49.5172781,415,CRANBROOK Street N,CRANBROOK,Street,N,415 CRANBROOK Street N,,CRANBROOK,,,,,b1f2450f17860acf
-115.7632523,49.5175141,503,CRANBROOK Street N,CRANBROOK,Street,N,503 CRANBROOK Street N,,CRANBROOK,,,,,16279a4ea7d04900
-115.7650339,49.5155809,303,CRANBROOK Street N,CRANBROOK,Street,N,303 CRANBROOK Street N,,CRANBROOK,,,,,5afaff5c4ac54ae5
-115.7649681,49.5156353,303,CRANBROOK Street N,CRANBROOK,Street,N,303 CRANBROOK Street N,,CRANBROOK,,,,,b0d87d1d0a4a7c6b
-115.7649023,49.5156898,303,CRANBROOK Street N,CRANBROOK,Street,N,303 CRANBROOK Street N,,CRANBROOK,,,,,6728e8cb38fc66ab
-115.7648365,49.5157442,307,CRANBROOK Street N,CRANBROOK,Street,N,307 CRANBROOK Street N,,CRANBROOK,,,,,669a9fa18c788eaa
-115.7660583,49.514734,205,CRANBROOK Street N,CRANBROOK,Street,N,205 CRANBROOK Street N,,CRANBROOK,,,,,9f83b0165f50050e
-115.7659276,49.5148421,207,CRANBROOK Street N,CRANBROOK,Street,N,207 CRANBROOK Street N,,CRANBROOK,,,,,ab73517a421bfec8
-115.7658459,49.5149096,211,CRANBROOK Street N,CRANBROOK,Street,N,211 CRANBROOK Street N,,CRANBROOK,,,,,c96817ad5d74ddb8
-115.7665702,49.5149086,200,VAN HORNE Street N,VAN HORNE,Street,N,200 VAN HORNE Street N,,CRANBROOK,,,,,8aeac7ab0b00f2b5
-115.7657969,49.5149501,211,CRANBROOK Street N,CRANBROOK,Street,N,211 CRANBROOK Street N,,CRANBROOK,,,,,c898fbfd7f24fd33
-115.7665045,49.5149629,200,VAN HORNE Street N,VAN HORNE,Street,N,200 VAN HORNE Street N,,CRANBROOK,,,,,3619e0ab3902532a
-115.7657316,49.5150042,215,CRANBROOK Street N,CRANBROOK,Street,N,215 CRANBROOK Street N,,CRANBROOK,,,,,06670410acadd998
-115.7664389,49.5150172,200,VAN HORNE Street N,VAN HORNE,Street,N,200 VAN HORNE Street N,,CRANBROOK,,,,,70a5a6ff43b45cfa
-115.7656662,49.5150582,215,CRANBROOK Street N,CRANBROOK,Street,N,215 CRANBROOK Street N,,CRANBROOK,,,,,da964f703dfa4b60
-115.7663732,49.5150716,200,VAN HORNE Street N,VAN HORNE,Street,N,200 VAN HORNE Street N,,CRANBROOK,,,,,d683095664dce806
-115.7662747,49.5151526,208,VAN HORNE Street N,VAN HORNE,Street,N,208 VAN HORNE Street N,,CRANBROOK,,,,,2a392907219c6806
-115.7654702,49.5152203,217,CRANBROOK Street N,CRANBROOK,Street,N,217 CRANBROOK Street N,,CRANBROOK,,,,,8bd62c771fb976fd
-115.7661768,49.5152336,212,VAN HORNE Street N,VAN HORNE,Street,N,212 VAN HORNE Street N,,CRANBROOK,,,,,c0730c31d42c7870
-115.7654048,49.5152743,217,CRANBROOK Street N,CRANBROOK,Street,N,217 CRANBROOK Street N,,CRANBROOK,,,,,260712ae72628b0d
-115.7661115,49.5152877,212,VAN HORNE Street N,VAN HORNE,Street,N,212 VAN HORNE Street N,,CRANBROOK,,,,,86b1f311d845cf2d
-115.7653395,49.5153284,217,CRANBROOK Street N,CRANBROOK,Street,N,217 CRANBROOK Street N,,CRANBROOK,,,,,408fb94f65180006
-115.7652727,49.5153836,217,CRANBROOK Street N,CRANBROOK,Street,N,217 CRANBROOK Street N,,CRANBROOK,,,,,f49882c5be47bae6
-115.7658786,49.5148826,207,CRANBROOK Street N,CRANBROOK,Street,N,207 CRANBROOK Street N,,CRANBROOK,,,,,de969907f043e448
-115.7672073,49.513782,109,CRANBROOK Street N,CRANBROOK,Street,N,109 CRANBROOK Street N,,CRANBROOK,,,,,ab0326d1f74e2b5c
-115.7663598,49.5144835,127,CRANBROOK Street N,CRANBROOK,Street,N,127 CRANBROOK Street N,,CRANBROOK,,,,,a4e8cac1fc6524be
-115.7670673,49.5144963,126,VAN HORNE Street N,VAN HORNE,Street,N,126 VAN HORNE Street N,,CRANBROOK,,,,,79d0536e746fa786
-115.7670021,49.5145504,126,VAN HORNE Street N,VAN HORNE,Street,N,126 VAN HORNE Street N,,CRANBROOK,,,,,6f0bafefca29d6e7
-115.7669369,49.5146044,126,VAN HORNE Street N,VAN HORNE,Street,N,126 VAN HORNE Street N,,CRANBROOK,,,,,35aa8e5fb747286e
